1,Quick_Attack,40,0,1,100,30,7,0,0,0,0,0
2,Head_Butt,70,0,1,100,15,8,0,1,30,4,0
3,Sigma_Beam,200,1,3,50,5,-8,0,0,0,0,0
4,UwU_Scratch,80,0,1,90,20,2,0,0,0,0,0
5,CC_launcher,1,0,3,100,5,7,0,0,0,0,0
6,Skibidi_Rizzler,100,3,3,70,15,-2,0,0,0,0,0
7,Kawaii_Skirt,120,3,3,95,10,0,0,0,0,0,0
8,Fire_Wall
9,DDoS_Storm
10,Malware_inject
11,Trojan_Slash
12,Packet_Burst
13,Segfault_clamity
14,BSoD_Crash
15,Memory_Leak
16,Air_Cutter
17,Mister_Freeze
18,Cut
19,IC_C_La_Drill
20,ICC_Quake
21,Fire_Span
22,Slow_Boot
23,Hyper_VXFang
24,VN_Guard
25,Wire_zap
26,Bugs
27,Over_Cloak
28,Fake_R_Out
29,Quick_Rage
30,Hard_Rage
31,Rage_Quit
